Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
;g;8;9;5;5;4;6;5;4;5;6;5;5;5;7;4;4;4;4;11;;;;;;;;
;g;18;16;14;16;14;14;15;12;16;17;31;17;17;23;20;22;19;19;15;;;;;;;;
;g;8;11;9;9;5;6;7;9;6;6;9;5;8;6;7;7;6;7;13;;;;;;;;
;g;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;;;;;;;;
;g;23;19;24;29;29;29;36;33;38;36;32;32;35;39;44;42;49;51;52;;;;;;;;
;g;11;3;6;2;5;24;4;14;5;3;4;5;5;6;4;5;12;5;5;;;;;;;;
Beverages;g;56;51;49;61;57;46;52;52;43;49;48;51;51;51;55;54;41;49;52;;;;;;;;
;g;34;31;30;36;38;28;30;30;25;24;28;26;27;32;29;26;19;18;19;;;;;;;;
;g;2;2;1;3;1;2;1;2;2;2;2;2;3;3;6;6;6;10;7;;;;;;;;
;g;12;11;9;13;11;11;11;11;11;14;11;15;12;12;13;14;10;14;20;;;;;;;;
;ml;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
;ml;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;;;;;;;;
;g;5;4;4;5;4;4;7;6;4;5;5;7;6;3;4;5;6;4;3;;;;;;;;
;g;4;2;5;3;3;1;3;2;1;3;2;1;1;1;2;2;0;2;2;;;;;;;;
Other food and drink;g;506;524;572;588;518;644;580;550;571;573;679;686;709;654;749;788;874;810;709;;;;;;;;
;ml;133;135;163;172;171;232;198;136;200;203;244;242;314;307;344;362;491;406;264;;;;;;;;
;g;10;10;17;6;10;15;11;4;12;8;15;18;9;16;13;16;2;15;1;;;;;;;;
;g;69;61;59;69;54;73;57;55;49;55;74;72;60;35;54;56;49;60;62;;;;;;;;
;g;3;3;2;3;4;4;3;3;2;3;4;2;3;2;2;1;4;2;1;;;;;;;;
;g;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
;g;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;;;;;;
;g;0;5;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
;g;25;25;25;31;26;33;38;36;32;33;43;38;47;39;47;43;36;35;45;;;;;;;;
;g;22;23;22;26;22;28;30;29;26;29;36;29;39;27;35;35;29;27;35;;;;;;;;
;g;3;3;3;5;3;5;9;8;7;5;7;10;7;12;12;8;7;8;10;;;;;;;;
;g;92;94;88;100;94;98;101;117;101;106;117;114;118;109;114;118;109;119;117;;;;;;;;
;g;14;13;9;12;6;9;11;13;8;11;10;9;14;11;14;14;14;10;12;;;;;;;;
;g;77;80;78;88;87;88;89;104;91;95;107;105;104;98;99;103;94;109;105;;;;;;;;
;g;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;;;;;;;;
;g;3;2;3;3;2;3;3;3;3;3;3;3;5;3;4;4;4;3;3;;;;;;;;
;g;4;3;3;3;3;3;3;3;3;7;3;1;5;4;3;3;3;4;1;;;;;;;;
;ml;83;94;119;120;62;97;90;96;88;71;80;102;69;47;73;75;76;76;103;;;;;;;;
;ml;68;76;78;64;76;76;65;84;68;64;82;78;60;77;68;79;87;76;93;;;;;;;;
;ml;37;46;46;35;43;46;43;40;44;36;42;44;35;42;41;46;58;43;54;;;;;;;;
;ml;28;28;27;26;30;28;19;41;23;28;40;32;22;34;25;30;26;33;35;;;;;;;;
;ml;4;2;5;3;3;2;3;3;1;1;1;1;2;1;3;4;3;0;4;;;;;;;;
;g;13;13;11;13;11;5;7;8;9;12;9;12;16;8;24;25;10;7;9;;;;;;;;
;g;2;3;3;3;4;4;3;3;3;5;4;3;3;7;4;4;2;5;10;;;;;;;;
Soft drinks;ml;1811;1767;1834;1839;1739;1819;1715;1644;1722;1663;1502;1651;1471;1542;1434;1396;1809;1186;1676;;;;;;;;
;ml;635;655;711;603;662;652;601;677;736;638;421;354;327;322;277;268;273;307;319;;;;;;;;
;ml;764;705;726;900;781;710;664;600;648;646;634;667;581;674;557;556;605;428;532;;;;;;;;
;ml;179;147;178;114;97;164;204;191;140;199;194;278;278;254;290;261;390;192;375;;;;;;;;
;ml;233;260;219;222;199;293;246;177;198;180;254;351;285;293;310;311;541;260;451;;;;;;;;
Confectionery;g;107;105;103;121;103;93;105;116;103;96;110;97;106;119;108;117;110;117;113;;;;;;;;
;g;23;23;20;23;27;24;30;23;22;25;27;25;26;35;26;27;23;39;28;;;;;;;;
;g;47;43;41;55;40;36;42;49;40;37;41;38;37;41;44;48;41;32;46;;;;;;;;
;g;2;1;1;1;1;2;2;3;2;1;1;1;2;1;1;1;1;2;1;;;;;;;;
;g;32;34;37;38;31;29;28;39;36;30;37;31;37;40;34;36;40;41;35;;;;;;;;
;g;3;4;4;3;3;2;2;4;2;2;3;0;1;1;1;1;2;2;1;;;;;;;;
;g;29;30;33;34;28;26;26;35;34;28;34;30;36;39;33;35;39;39;34;;;;;;;;
;g;3;3;3;4;3;2;2;3;2;3;3;3;3;3;4;5;5;3;2;;;;;;;;
;g;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Alcoholic drinks;ml;449;421;537;542;474;461;537;535;469;609;522;493;420;365;463;492;533;521;565;;;;;;;;
;ml;37;47;59;54;42;67;109;70;55;55;39;44;42;41;27;23;74;34;30;;;;;;;;
;ml;199;191;238;288;216;200;160;224;214;249;237;201;148;192;179;222;201;229;229;;;;;;;;
;ml;73;54;99;70;73;70;128;111;86;141;123;92;102;39;100;70;97;105;138;;;;;;;;
;ml;89;84;95;90;98;84;94;91;81;104;84;114;81;59;122;134;94;108;127;;;;;;;;
;ml;4;5;18;4;4;5;4;2;0;3;2;6;4;2;4;4;11;2;11;;;;;;;;
;ml;85;79;77;86;94;79;90;89;81;101;82;108;77;57;119;129;83;106;117;;;;;;;;
;ml;0;0;0;0;0;2;0;0;1;0;1;0;0;1;1;1;1;4;1;;;;;;;;
;ml;10;13;6;11;8;4;11;6;5;6;2;2;3;4;8;10;14;5;4;;;;;;;;
;ml;21;19;24;19;23;21;24;22;18;32;21;30;30;19;18;23;43;32;29;;;;;;;;
;ml;4;3;3;2;4;3;5;6;3;5;3;4;4;7;6;7;8;5;4;;;;;;;;
;ml;15;10;14;8;11;10;5;6;5;18;12;6;9;2;2;3;1;0;2;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
