Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
;g;36;35;36;33;37;32;31;34;29;32;35;27;33;33;33;34;26;41;27;;;;;;;;
;g;40;43;41;46;32;39;34;35;31;37;34;40;29;26;30;33;37;24;21;;;;;;;;
;g;33;32;34;39;26;33;30;30;25;30;25;28;23;17;22;23;34;20;16;;;;;;;;
;g;7;11;7;7;6;7;3;4;6;7;9;12;7;9;8;10;4;4;5;;;;;;;;
;g;11;14;13;12;10;9;12;14;8;12;6;7;6;7;8;8;9;7;5;;;;;;;;
;g;8;10;10;10;7;8;9;11;11;7;12;12;12;9;13;13;9;11;6;;;;;;;;
;g;46;42;50;61;49;47;38;52;32;35;44;37;32;32;35;33;23;41;21;;;;;;;;
;g;179;158;156;165;179;155;153;170;187;150;172;176;155;158;161;148;150;135;169;;;;;;;;
;g;19;26;17;21;35;23;18;27;10;11;8;10;8;7;11;12;10;13;12;;;;;;;;
;g;17;24;14;21;29;14;16;17;9;8;5;8;7;7;9;11;8;6;8;;;;;;;;
;g;2;2;2;0;6;9;2;11;1;3;3;2;1;0;1;1;1;7;4;;;;;;;;
;g;1;5;1;0;1;1;1;5;0;2;3;1;2;1;1;0;1;2;0;;;;;;;;
;g;51;51;55;53;46;47;55;59;53;49;60;56;50;50;47;48;43;59;53;;;;;;;;
;g;16;12;13;10;7;11;10;5;4;5;7;4;5;6;6;4;6;8;6;;;;;;;;
;g;47;40;35;31;17;23;23;24;22;26;25;18;20;19;21;22;19;23;16;;;;;;;;
;g;37;32;23;19;8;12;10;11;10;10;9;6;12;9;8;9;11;10;8;;;;;;;;
;g;11;9;13;12;10;11;13;13;12;15;16;12;8;10;13;13;7;13;8;;;;;;;;
;g;41;27;49;48;46;48;45;58;47;62;59;53;50;47;43;43;60;40;47;;;;;;;;
;g;31;25;33;28;22;28;24;31;21;25;30;23;25;29;18;17;14;17;24;;;;;;;;
;g;118;115;129;132;130;130;128;138;129;154;177;163;172;166;153;155;165;165;191;;;;;;;;
;g;69;61;76;75;75;71;70;78;70;85;94;88;79;79;65;64;76;73;97;;;;;;;;
;g;49;54;53;56;55;59;57;60;59;69;83;76;93;87;88;90;89;93;95;;;;;;;;
;g;8;8;14;13;9;11;9;10;10;12;13;11;10;17;14;15;17;11;14;;;;;;;;
;g;2;1;2;3;2;3;2;2;2;2;2;2;3;4;2;2;3;3;2;;;;;;;;
;g;5;6;11;10;7;8;8;8;8;10;10;9;8;13;13;13;14;8;12;;;;;;;;
;g;2;2;2;2;1;2;1;1;1;1;1;2;0;1;1;2;0;1;1;;;;;;;;
;g;52;46;60;51;48;46;43;48;42;44;40;49;31;35;40;41;43;29;26;;;;;;;;
;g;4;4;4;4;3;2;2;3;2;2;2;1;2;0;1;0;1;1;1;;;;;;;;
;g;6;6;8;6;6;6;9;5;4;4;4;8;4;6;7;9;6;3;8;;;;;;;;
;g;12;12;10;10;12;12;11;16;12;9;8;20;7;12;9;9;12;9;3;;;;;;;;
;g;3;3;4;3;2;2;2;2;2;2;3;1;2;2;2;2;2;1;1;;;;;;;;
;g;27;21;34;29;24;23;19;22;22;27;23;19;17;16;21;20;23;15;13;;;;;;;;
;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Fish;g;138;129;119;137;143;149;132;122;124;117;117;107;138;137;108;110;105;122;126;;;;;;;;
;g;34;23;20;30;32;37;28;22;28;13;12;24;29;25;12;13;10;14;17;;;;;;;;
;g;16;10;12;20;26;33;13;13;15;8;5;10;26;14;7;8;7;11;11;;;;;;;;
;g;18;13;8;9;6;4;15;10;13;5;7;14;3;11;4;5;2;2;6;;;;;;;;
;g;3;3;13;4;5;8;4;9;4;3;4;2;4;25;2;2;2;4;7;;;;;;;;
;g;3;3;12;3;5;8;3;6;2;3;3;2;4;24;1;2;0;3;5;;;;;;;;
;g;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;2;1;2;;;;;;;;
;g;2;7;3;4;5;4;4;5;7;7;8;2;12;8;8;8;8;6;9;;;;;;;;
;g;2;3;3;3;4;3;3;4;5;5;8;2;10;7;8;8;7;6;8;;;;;;;;
;g;0;4;0;0;0;1;2;1;2;2;0;0;2;1;0;0;0;0;0;;;;;;;;
;g;1;4;3;3;4;4;2;4;2;6;5;3;4;3;4;3;5;5;3;;;;;;;;
;g;3;3;1;2;2;3;2;3;2;2;2;3;2;2;2;2;2;2;2;;;;;;;;
;g;7;6;4;9;6;5;6;6;7;8;6;8;9;5;5;5;3;5;6;;;;;;;;
;g;2;2;2;4;2;3;2;3;3;3;3;4;5;2;3;3;2;2;3;;;;;;;;
;g;5;4;2;5;4;2;4;3;4;5;3;4;4;3;2;1;2;3;3;;;;;;;;
;g;11;10;10;10;8;7;7;5;7;7;7;5;5;4;8;7;4;3;6;;;;;;;;
;g;5;7;4;5;4;2;4;2;3;2;3;2;2;1;2;2;2;3;1;;;;;;;;
;g;34;32;24;28;26;33;27;20;25;23;20;17;21;23;16;17;23;20;18;;;;;;;;
;g;35;32;36;41;49;46;45;45;37;46;50;39;48;41;49;48;44;57;55;;;;;;;;
;g;2;2;1;1;3;1;3;2;1;2;1;1;1;1;1;2;2;4;1;;;;;;;;
;g;2;1;1;1;2;1;2;0;1;1;1;0;0;0;1;1;0;0;0;;;;;;;;
;g;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;2;4;1;;;;;;;;
Eggs;no.;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;;;;;;;;
Fats;g;216;208;187;202;192;204;213;194;180;197;194;188;165;175;195;185;143;158;173;;;;;;;;
;g;37;30;29;30;28;31;36;31;24;32;29;27;30;29;38;37;32;34;37;;;;;;;;
;g;14;19;18;15;22;18;19;25;20;21;29;27;19;22;19;21;20;33;42;;;;;;;;
;g;13;18;17;9;18;16;15;23;19;20;24;25;17;20;18;20;18;32;40;;;;;;;;
;g;1;0;1;6;4;2;4;2;1;1;4;2;2;2;1;1;1;1;2;;;;;;;;
;g;7;4;7;3;5;5;2;3;2;1;3;3;2;1;4;3;2;5;4;;;;;;;;
;ml;81;86;71;75;84;95;93;76;82;89;78;92;70;73;96;88;41;47;47;;;;;;;;
;ml;9;9;5;8;13;13;9;9;13;5;11;23;11;12;18;14;8;10;11;;;;;;;;
;ml;72;77;66;67;71;82;83;68;69;84;67;69;59;61;79;74;34;37;35;;;;;;;;
;g;78;70;61;78;54;54;63;59;52;53;55;39;44;49;38;35;48;38;43;;;;;;;;
;g;55;53;44;51;37;41;46;44;35;39;40;27;30;33;23;19;27;25;27;;;;;;;;
;g;16;13;9;22;11;8;10;9;11;7;9;7;11;10;9;10;10;9;6;;;;;;;;
;g;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;3;;;;;;;;
;g;5;4;7;4;6;5;6;5;5;6;5;5;3;6;5;6;11;4;7;;;;;;;;
Sugar and preserves;g;182;169;169;157;134;140;147;142;129;129;154;155;164;118;136;132;115;100;110;;;;;;;;
;g;154;138;146;127;110;111;119;115;110;98;128;129;137;94;106;103;88;71;84;;;;;;;;
;g;13;17;12;13;12;15;17;16;10;16;13;15;11;12;16;16;13;15;10;;;;;;;;
;g;9;8;6;8;7;5;6;7;5;7;5;5;5;3;5;5;3;5;7;;;;;;;;
;g;1;3;3;2;2;3;2;1;3;4;1;3;2;3;4;4;2;2;1;;;;;;;;
;g;5;3;2;7;3;5;4;3;2;4;6;3;8;5;5;4;8;7;9;;;;;;;;
Fresh and processed fruit and vegetables, including potatoes;g;2628;2711;2527;2625;2855;2572;2614;2465;2392;2193;2397;2363;2445;2375;2518;2530;2272;2441;2415;;;;;;;;
Fresh and processed vegetables, including potatoes;g;1824;1818;1738;1735;1907;1607;1719;1649;1585;1518;1640;1616;1573;1581;1610;1613;1421;1553;1561;;;;;;;;
Fresh and processed potatoes;g;980;877;877;816;920;726;761;779;695;706;796;718;639;686;669;685;609;662;645;;;;;;;;
;g;673;605;571;538;620;487;491;491;437;446;488;440;380;393;403;420;334;405;378;;;;;;;;
;g;0;0;0;58;77;64;63;49;57;52;56;61;45;42;48;50;49;68;56;;;;;;;;
;g;0;0;0;31;33;34;50;33;26;34;45;36;47;34;42;39;28;61;42;;;;;;;;
;g;0;0;0;449;510;390;378;409;354;360;388;343;288;317;313;331;256;275;279;;;;;;;;
;g;307;272;305;278;300;239;270;288;258;260;308;278;258;293;266;265;275;258;268;;;;;;;;
;g;188;167;191;158;191;148;170;180;168;166;202;182;141;184;162;163;155;154;172;;;;;;;;
;g;133;111;128;107;142;104;121;142;133;132;159;142;109;152;115;111;122;130;142;;;;;;;;
;g;55;56;63;51;49;44;49;37;36;34;43;40;32;31;47;52;33;24;31;;;;;;;;
;g;8;3;3;3;6;3;3;3;2;3;2;1;2;1;1;2;2;0;2;;;;;;;;
;g;11;9;9;11;6;8;7;6;1;2;7;3;8;5;3;3;2;6;2;;;;;;;;
;g;59;55;61;64;58;54;53;56;55;57;57;47;48;57;55;55;54;62;54;;;;;;;;
;g;41;39;42;42;38;26;39;45;31;33;40;45;59;47;44;42;63;36;37;;;;;;;;
Fresh and processed fruit and vegetables, excluding potatoes;g;1648;1834;1651;1809;1935;1846;1853;1686;1697;1487;1600;1645;1807;1688;1850;1844;1663;1779;1770;;;;;;;;
Fresh and processed vegetables, excluding potatoes;g;844;941;861;919;987;881;958;870;890;812;844;898;934;895;942;928;812;891;916;;;;;;;;
;g;143;173;146;177;173;155;166;136;138;125;127;124;136;122;140;146;131;128;134;;;;;;;;
;g;33;44;30;45;38;36;45;30;29;27;28;25;31;28;33;31;26;18;28;;;;;;;;
;g;9;8;5;14;10;8;13;9;19;7;5;7;6;3;5;3;11;11;5;;;;;;;;
;g;44;48;45;55;53;48;48;43;36;35;45;41;39;37;41;44;43;38;38;;;;;;;;
;g;38;46;45;46;42;42;42;35;37;39;35;33;39;37;35;40;32;39;42;;;;;;;;
;g;38;37;35;34;31;32;35;24;30;27;25;21;27;27;24;27;23;25;31;;;;;;;;
;g;0;9;10;12;12;11;8;11;7;12;10;12;12;10;12;13;9;14;10;;;;;;;;
;g;4;5;5;2;5;4;3;2;2;4;2;4;2;3;4;4;2;2;4;;;;;;;;
;g;12;16;13;10;16;10;11;13;9;9;9;6;13;9;14;16;8;12;11;;;;;;;;
;g;2;6;4;5;8;9;4;4;7;6;3;7;6;4;8;7;8;8;6;;;;;;;;
;g;340;383;375;421;487;417;434;394;426;370;387;424;455;461;507;512;425;476;470;;;;;;;;
;g;71;71;65;87;78;76;82;78;83;68;69;66;76;79;84;83;79;98;66;;;;;;;;
;g;17;20;14;18;17;14;22;21;7;8;9;14;7;8;15;14;9;11;9;;;;;;;;
;g;16;16;18;25;16;21;23;30;27;25;21;26;25;30;35;30;28;40;31;;;;;;;;
;g;70;93;90;87;157;93;95;96;117;94;92;111;110;116;137;146;103;92;109;;;;;;;;
;g;29;30;25;28;35;31;35;24;29;26;34;31;40;43;38;41;41;48;41;;;;;;;;
;g;23;22;24;28;20;23;23;20;16;21;25;25;23;24;22;23;22;23;28;;;;;;;;
;g;67;73;75;81;86;80;72;59;65;58;65;60;78;69;75;80;55;70;74;;;;;;;;
;g;47;58;64;68;78;79;82;66;82;71;71;92;94;94;101;95;89;94;113;;;;;;;;
;g;8;10;15;15;19;23;17;19;26;20;17;22;25;25;22;17;25;10;14;;;;;;;;
;g;10;14;13;19;16;14;25;14;14;15;10;14;14;14;16;15;11;20;24;;;;;;;;
;g;26;31;33;32;41;39;36;30;39;32;40;51;49;50;55;59;50;60;64;;;;;;;;
;g;3;3;3;3;3;3;4;3;3;5;4;4;6;5;8;5;3;5;10;;;;;;;;
Processed vegetables excluding processed potatoes;g;360;385;341;321;327;309;358;340;325;317;330;349;343;312;295;269;256;287;312;;;;;;;;
;g;54;53;45;35;36;44;49;31;46;37;32;53;43;47;33;26;44;47;29;;;;;;;;
;g;39;35;36;36;31;29;32;31;24;20;25;21;20;19;18;17;24;13;21;;;;;;;;
;g;123;135;111;106;113;98;124;135;111;107;113;116;108;105;94;89;76;90;96;;;;;;;;
;g;115;113;104;98;102;92;110;122;93;97;103;96;89;98;78;73;64;75;76;;;;;;;;
